Lat.,Long.,Titolo,Id,Nr. Incendio,Data Incendio,Ora Accertamento,Ora Richiesta,Regione,Provincia,Comune,Località,DMS_lat,DMS_lon
38.141,15.747,,15892,14,25/06/2022,25/06/2022 16:48,17:31,Calabria,Reggio di Calabria,Reggio di Calabria,Straorino,38° 08' 27'' N,15° 44' 49'' E
39.096,8.781,,15893,15,25/06/2022,25/06/2022 17:22,17:31,Sardegna,Carbonia-Iglesias,Santadi,ROCCIA CASTEDDU,39° 05' 45'' N,08° 46' 51'' E
41.45,13.466,,15894,16,25/06/2022,25/06/2022 16:39,17:43,Lazio,Frosinone,Pastena,Pozzorale Santa Croce,41° 27' 00'' N,13° 27' 57'' E
41.24,13.555,,15867,1,24/06/2022,24/06/2022 09:59,11:44,Lazio,Latina,Gaeta,vignole,41° 14' 24'' N,13° 33' 17'' E
37.527,13.253,,15868,2,24/06/2022,24/06/2022 12:36,12:51,Sicilia,Agrigento,Caltabellotta,GIRAFFE,37° 31' 37'' N,13° 15' 10'' E
38.21,15.683,,15869,3,24/06/2022,24/06/2022 14:09,14:14,Calabria,Reggio di Calabria,Fiumara,Via Tobruk,38° 12' 36'' N,15° 40' 58'' E
37.061,15.126,,15870,4,24/06/2022,24/06/2022 15:22,15:47,Sicilia,Siracusa,Siracusa,monasteri di sopra,37° 03' 39'' N,15° 07' 33'' E
38.637,16.246,,15871,5,24/06/2022,24/06/2022 15:53,15:57,Calabria,Vibo Valentia,Vazzano,Caverre,38° 38' 13'' N,16° 14' 45'' E
37.491,13.947,,15872,6,24/06/2022,24/06/2022 16:35,16:46,Sicilia,Caltanissetta,San Cataldo,VALLE DEI PINI,37° 29' 27'' N,13° 56' 49'' E
38.33,15.838,,15873,7,24/06/2022,24/06/2022 16:58,17:03,Calabria,Reggio di Calabria,Seminara,Donna Pagana,38° 19' 47'' N,15° 50' 16'' E
37.498,14.107,,15874,8,24/06/2022,24/06/2022 17:02,17:21,Sicilia,Caltanissetta,Caltanissetta,SABUCINA,37° 29' 52'' N,14° 06' 25'' E
38.054,15.741,,15875,9,24/06/2022,24/06/2022 17:42,17:46,Calabria,Reggio di Calabria,Reggio di Calabria,Santa Venere,38° 03' 14'' N,15° 44' 27'' E
40.706,16.188,,15876,10,24/06/2022,24/06/2022 17:40,17:56,Basilicata,Matera,Irsina,Verrutoli,40° 42' 21'' N,16° 11' 16'' E
43.113,12.618,,15877,11,24/06/2022,24/06/2022 18:11,18:53,Umbria,Perugia,Assisi,via san Fortunato,43° 06' 46'' N,12° 37' 04'' E
41.684,16.009,,15878,12,24/06/2022,24/06/2022 17:07,19:05,Puglia,Foggia,Monte Sant'Angelo,Macchia,41° 41' 02'' N,16° 00' 32'' E
39.584,16.452,,15857,1,23/06/2022,23/06/2022 10:42,11:02,Calabria,Cosenza,San Giorgio Albanese,Contrada Ianello,39° 35' 02'' N,16° 27' 07'' E
42.124,11.852,,15858,2,23/06/2022,23/06/2022 09:27,11:34,Lazio,Roma,Civitavecchia,VIA ANDREA MONETA,42° 07' 26'' N,11° 51' 07'' E
37.989,15.653,,15859,3,23/06/2022,23/06/2022 11:58,12:05,Calabria,Reggio di Calabria,Motta San Giovanni,Bocale/Lazzaro,37° 59' 20'' N,15° 39' 10'' E
40.195,18.381,,15860,4,23/06/2022,23/06/2022 10:45,12:41,Puglia,Lecce,Carpignano Salentino,Santa Marina,40° 11' 42'' N,18° 22' 51'' E
38.076,15.664,,15861,5,23/06/2022,23/06/2022 14:30,14:40,Calabria,Reggio di Calabria,Reggio di Calabria,Morloquio,38° 04' 33'' N,15° 39' 50'' E
39.421,16.164,,15862,6,23/06/2022,23/06/2022 15:10,15:15,Calabria,Cosenza,Montalto Uffugo,San Nicola,39° 25' 15'' N,16° 09' 50'' E
40.442,16.692,,15863,7,23/06/2022,23/06/2022 16:30,16:44,Basilicata,Matera,Montescaglioso,AZZOPPATURA,40° 26' 31'' N,16° 41' 31'' E
38.182,15.655,,15864,8,23/06/2022,23/06/2022 16:58,17:10,Calabria,Reggio di Calabria,Reggio di Calabria,Arghillà,38° 10' 55'' N,15° 39' 17'' E
37.911,15.279,,15865,9,23/06/2022,23/06/2022 17:56,18:09,Sicilia,Messina,Mongiuffi Melia,MONGIULFI,37° 54' 39'' N,15° 16' 44'' E
37.968,15.76,,15866,10,23/06/2022,23/06/2022 18:48,18:57,Calabria,Reggio di Calabria,Montebello Ionico,Masella,37° 58' 04'' N,15° 45' 35'' E
41.572,15.858,,15850,1,22/06/2022,22/06/2022 06:35,06:46,Puglia,Foggia,Manfredonia,sciale delle rondinelle,41° 34' 19'' N,15° 51' 28'' E
39.877,15.814,,15851,2,22/06/2022,22/06/2022 10:33,10:36,Calabria,Cosenza,Praia a Mare,Foresta,39° 52' 37'' N,15° 48' 50'' E
40.963,16.573,,15852,3,22/06/2022,22/06/2022 12:15,13:30,Puglia,Bari,Toritto,Belvedere di Quasano,40° 57' 46'' N,16° 34' 22'' E
41.865,12.414,,15853,4,22/06/2022,22/06/2022 13:32,13:58,Lazio,Roma,Roma,,41° 51' 54'' N,12° 24' 50'' E
40.119,18.28,,15854,5,22/06/2022,22/06/2022 13:05,14:55,Puglia,Lecce,Maglie,Via Puzzovio,40° 07' 08'' N,18° 16' 48'' E
36.951,15.144,,15855,6,22/06/2022,22/06/2022 14:51,15:34,Sicilia,Siracusa,Avola,Cava Tangi,36° 57' 03'' N,15° 08' 38'' E
40.706,16.188,,15856,7,22/06/2022,22/06/2022 16:00,16:17,Basilicata,Matera,Irsina,Verrutoli,40° 42' 21'' N,16° 11' 16'' E
38.128,15.711,,15845,1,21/06/2022,21/06/2022 08:40,09:16,Calabria,Reggio di Calabria,Reggio di Calabria,Limbone,38° 07' 40'' N,15° 42' 39'' E
40.672,8.677,,15846,2,21/06/2022,21/06/2022 14:08,14:17,Sardegna,Sassari,Codrongianos,SU CRABILE,40° 40' 19'' N,08° 40' 37'' E
40.552,16.516,,15847,3,21/06/2022,21/06/2022 15:10,15:22,Basilicata,Matera,Miglionico,Corazze,40° 33' 07'' N,16° 30' 57'' E
41.572,15.858,,15848,4,21/06/2022,21/06/2022 13:25,15:52,Puglia,Foggia,Manfredonia,sciale delle rondinelle,41° 34' 19'' N,15° 51' 28'' E
38.215,15.687,,15849,5,21/06/2022,21/06/2022 17:35,18:36,Calabria,Reggio di Calabria,Fiumara,Mateniti,38° 12' 54'' N,15° 41' 13'' E
43.876,7.839,,15838,1,20/06/2022,20/06/2022 06:50,07:03,Liguria,Imperia,Taggia,VIA PRIMO MAGGIO,43° 52' 33'' N,07° 50' 20'' E
39.774,15.876,,15839,2,20/06/2022,20/06/2022 08:53,08:57,Calabria,Cosenza,Orsomarso,Tifano,39° 46' 26'' N,15° 52' 33'' E
39.116,16.963,,15840,3,20/06/2022,20/06/2022 12:20,12:26,Calabria,Crotone,Scandale,Madonna della Difesa,39° 06' 57'' N,16° 57' 46'' E
37.477,14.395,,15841,4,20/06/2022,20/06/2022 14:47,14:54,Sicilia,Enna,Enna,C.DA CAFECI,37° 28' 37'' N,14° 23' 41'' E
42.418,12.56,,15842,5,20/06/2022,20/06/2022 16:30,16:53,Umbria,Terni,Calvi dell'Umbria,colle tarocco,42° 25' 04'' N,12° 33' 36'' E
40.337,17.59,,15843,6,20/06/2022,20/06/2022 16:28,17:25,Puglia,Taranto,Maruggio,Bosco Speracavalli,40° 20' 13'' N,17° 35' 23'' E
41.161,13.931,,15844,7,20/06/2022,20/06/2022 14:40,17:26,Campania,Caserta,Falciano del Massico,Masseria Le Mure,41° 09' 39'' N,13° 55' 51'' E
43.876,7.839,,15834,1,19/06/2022,19/06/2022 13:40,14:37,Liguria,Imperia,Taggia,Via primo maggio,43° 52' 33'' N,07° 50' 20'' E
40.017,16.527,,15835,2,19/06/2022,19/06/2022 14:55,15:51,Calabria,Cosenza,Montegiordano,Caprara,40° 01' 01'' N,16° 31' 37'' E
40.343,9.022,,15836,3,19/06/2022,19/06/2022 16:00,16:12,Sardegna,Sassari,Illorai,TOTTOLOCCHE,40° 20' 34'' N,09° 01' 19'' E
39.771,15.874,,15837,4,19/06/2022,19/06/2022 17:45,18:44,Calabria,Cosenza,Orsomarso,Tifano,39° 46' 15'' N,15° 52' 26'' E
41.87,12.288,,15823,1,18/06/2022,18/06/2022 11:52,13:07,Lazio,Roma,Roma,roma,41° 52' 11'' N,12° 17' 16'' E
39.565,9.584,,15824,2,18/06/2022,18/06/2022 15:00,15:11,Sardegna,Cagliari,Villaputzu,RIU DI ULUEDU (VILLAPUTZU),39° 33' 53'' N,09° 35' 02'' E
40.333,17.617,,15825,3,18/06/2022,18/06/2022 14:30,15:46,Puglia,Taranto,Manduria,Mass. Li Suri,40° 19' 58'' N,17° 37' 01'' E
40.016,16.528,,15826,4,18/06/2022,18/06/2022 16:02,16:06,Calabria,Cosenza,Montegiordano,C.da Caprara,40° 00' 57'' N,16° 31' 40'' E
40.292,8.76,,15827,5,18/06/2022,18/06/2022 15:55,16:16,Sardegna,Nuoro,Macomer,SA MENTA (MACOMER),40° 17' 31'' N,08° 45' 35'' E
41.673,15.735,,15828,6,18/06/2022,18/06/2022 15:25,16:51,Puglia,Foggia,San Giovanni Rotondo,valle grande,41° 40' 22'' N,15° 44' 05'' E
39.5,8.751,,15829,7,18/06/2022,18/06/2022 16:40,17:06,Sardegna,Medio Campidano,Villacidro,SU FILIXI (VILLACIDRO),39° 30' 00'' N,08° 45' 03'' E
42.424,12.335,,15830,8,18/06/2022,18/06/2022 17:01,17:16,Lazio,Viterbo,Vasanello,CESURLI,42° 25' 26'' N,12° 20' 06'' E
41.279,13.675,,15831,9,18/06/2022,18/06/2022 18:04,18:19,Lazio,Latina,Formia,,41° 16' 44'' N,13° 40' 30'' E
39.017,17.147,,15832,10,18/06/2022,18/06/2022 18:30,18:38,Calabria,Crotone,Crotone,Via Olimpia,39° 01' 01'' N,17° 08' 49'' E
41.557,13.856,,15833,11,18/06/2022,18/06/2022 19:08,19:32,Lazio,Frosinone,Sant'Elia Fiumerapido,VALLE LUCE,41° 33' 25'' N,13° 51' 21'' E
41.724,16.085,,15815,1,17/06/2022,17/06/2022 05:00,05:30,Puglia,Foggia,Mattinata,TAR DI LUPO,41° 43' 26'' N,16° 05' 06'' E
39.114,8.996,,15816,2,17/06/2022,17/06/2022 13:20,13:35,Sardegna,Cagliari,Sarroch,sa perda scritta,39° 06' 50'' N,08° 59' 45'' E
37.258,14.244,,15817,3,17/06/2022,17/06/2022 13:45,13:54,Sicilia,Caltanissetta,Mazzarino,Contrada Canalotto,37° 15' 28'' N,14° 14' 38'' E
37.575,13.248,,15818,4,17/06/2022,17/06/2022 14:25,14:33,Sicilia,Agrigento,Caltabellotta,Troccoli - Caltabellotta (AG),37° 34' 30'' N,13° 14' 52'' E
39.03,17.164,,15819,5,17/06/2022,17/06/2022 15:00,15:25,Calabria,Crotone,Crotone,Prestica,39° 01' 48'' N,17° 09' 50'' E
39.022,17.166,,15820,6,17/06/2022,17/06/2022 16:00,16:24,Calabria,Crotone,Crotone,Prestica,39° 01' 19'' N,17° 09' 57'' E
41.615,15.692,,15821,7,17/06/2022,17/06/2022 13:25,17:29,Puglia,Foggia,San Giovanni Rotondo,valle masseriola,41° 36' 54'' N,15° 41' 31'' E
37.718,13.275,,15822,8,17/06/2022,17/06/2022 18:08,18:14,Sicilia,Palermo,Bisacquino,Triona - Bisacquino (PA),37° 43' 04'' N,13° 16' 30'' E
40.404,9.012,,15810,1,16/06/2022,16/06/2022 14:10,14:25,Sardegna,Sassari,Bottidda,N.GHE LARATTU (BOTTIDDA),40° 24' 14'' N,09° 00' 43'' E
40.404,9.012,,15811,2,16/06/2022,16/06/2022 14:10,14:25,Sardegna,Sassari,Bottidda,N.GHE LARATTU (BOTTIDDA),40° 24' 14'' N,09° 00' 43'' E
37.438,14.488,,15812,3,16/06/2022,16/06/2022 14:48,14:55,Sicilia,Enna,Aidone,Monte Cittadella - Aidone (EN),37° 26' 16'' N,14° 29' 16'' E
42.564,12.35,,15813,4,16/06/2022,16/06/2022 15:49,17:41,Umbria,Terni,Lugnano in Teverina,LUGNANO,42° 33' 50'' N,12° 20' 59'' E
38.119,15.696,,15814,5,16/06/2022,16/06/2022 18:16,18:20,Calabria,Reggio di Calabria,Reggio di Calabria,Pietrastorta,38° 07' 08'' N,15° 41' 45'' E
39.997,18.239,,15809,1,15/06/2022,15/06/2022 12:25,12:43,Puglia,Lecce,Ruffano,Peticare,39° 59' 49'' N,18° 14' 20'' E
37.445,14.303,,15807,1,14/06/2022,14/06/2022 15:09,16:10,Sicilia,Enna,Enna,Contrada Serra D'Api,37° 26' 42'' N,14° 18' 10'' E
37.394,13.413,,15808,2,14/06/2022,14/06/2022 15:55,17:19,Sicilia,Agrigento,Agrigento,SAN GIORGIO,37° 23' 38'' N,13° 24' 46'' E
